PLAN;2;1790155841_1044812;XAUUSD;AMarkets-Demo;2026.09.23 09:30:41;2026.09.24 09:00:00;4270.00;4378.00
Z;S1;SUPPORT;4320.34;4325.18;BELOW;4318.00;Область удержания H1 22.09 15:00-19:00, многократно тестировалась
Z;S2;SUPPORT;4308.91;4314.77;BELOW;4307.00;Минимумы H1 22.09 14:00 и 17:00 после утреннего отскока
Z;S3;SUPPORT;4291.34;4299.44;BELOW;4289.00;Минимумы H1 22.09 10:00-11:00
Z;S4;SUPPORT;4273.79;4285.26;BELOW;4271.00;Основания роста H1 17.09 04:00-08:00
Z;R1;RESISTANCE;4333.03;4347.02;ABOVE;4349.00;Утренняя область H1 23.09 05:00-08:00, возврат выше еще не подтвержден
Z;R2;RESISTANCE;4355.11;4370.96;ABOVE;4373.00;Ночная область предложения, максимум 22.09 22:00
S;SELL_R1;SELL;H1_NEXT;SIGNAL_EXTREME;4326.00;4316.00;ABOVE;4349.00;ЗОНА: SELL после возврата в 4333.03-4347.02.|1. После экспорта новая H1 заходит в зону и закрывается ниже 4333.03 и ниже открытия.|2. Вход на открытии следующей H1. SL выше максимума сигнальной свечи с запасом.|3. До TP1 4326 чистая прибыль должна быть не меньше риска до SL. Если меньше 1:1, пропуск.|TP1 перед S1. TP2 4316 только после прохождения S1 вниз. Без пробоя S1 дальняя цель не обоснована.|Запас SL: max(2 текущих спреда, 0.10 ATR14 закрытых H1). Старые свечи сигналом не считать.
S;SELL_BREAK_S2;SELL;H1_NEXT;SIGNAL_EXTREME;4301.00;4301.00;ABOVE;4349.00;ЗОНА: SELL после пробоя 4308.91-4314.77.|1. После экспорта H1 закрывается ниже 4308.91.|2. Последующая H1 тестирует зону снизу и закрывается ниже 4308.91 и ниже открытия.|3. Вход на следующей H1, SL выше максимума свечи ретеста с запасом.|Одна цель 4301 перед поддержкой 4291.34-4299.44. TP1 и TP2 одинаковые намеренно.|Вход только при чистой прибыли до цели не меньше риска до SL, от 1:1. После большой свечи или при позднем входе пропуск.|Запас SL пересчитать по спреду и ATR14 H1. Старые свечи не использовать как новый сигнал.
S;BUY_BOUNCE_S1;BUY;H1_NEXT;SIGNAL_EXTREME;4332.00;4332.00;BELOW;4318.00;ЗОНА: BUY-отбой 4320.34-4325.18, против утреннего снижения.|1. После экспорта новая H1 касается зоны. Ее минимум внутри зоны, закрытие выше 4325.18 и выше открытия.|2. Вход на открытии следующей H1. SL ниже минимума сигнальной свечи с запасом.|3. Единственная цель 4332 перед сопротивлением 4333.03-4347.02. Оба TP одинаковые.|Чистая прибыль до цели должна быть не меньше риска до SL, от 1:1. Если свеча закрылась слишком высоко или стоп широк, пропуск.|Запас SL: max(2 спреда, 0.10 ATR14 H1). Прокол ниже 4320.34 не относится к этому сценарию отбоя.
END;6;3
